filename,expected_date,extracted_date,correct,raw_ocr_text,failure_stage,notes
across_life_worlds.jpg,2026-08-09,,FALSE,"SOVIET JEWISH EMIGRATION Fix. Exhibition Openin",crop,"Date region was not included"
august_happy_hour.jpg,2026-08-04,,FALSE,"ee NU",crop,"Date region was not included"
beach_day.jpg,2026-08-15,,FALSE,"ppapre",crop,"Date region was not included"
cuban_social.jpg,2026-04-25,,FALSE,"SOCIA",crop,"Date region was not included"
dc_flea.jpg,2026-04-26,,FALSE,"Shop cu ...",crop,"OCR read descriptive text instead of date area"
gogo_groovers.jpg,2026-04-18,,FALSE,"DC Go-Go Groover NEXT RUN/WALK: Catiurdaw Anril 12 law",ocr,"Date text was substantially misread"
rooftop_punk_shows.jpg,2026-08-12,,FALSE,"WED. AUG.12 = sige ...",regex,"OCR captured date but pattern did not recognize AUG.12"
tommy_c.jpg,2026-08-08,,FALSE,"",crop,"Current region produced no OCR text"
